"","iliad.txt","odyssey.txt"
"cellenius",1,0
"cells",1,0
"celtic",1,0
"cemented",1,0
"ceneus'",1,0
"censure",3,0
"censured",1,0
"censurers",1,0
"centaur.",2,0
"centaur.]",1,0
"centaurs",3,0
"cento",1,0
"centre",17,0
"centuries",1,1
"centuries,",1,0
"centuries.",1,0
"century",7,1
"century,",2,0
"cependant",1,0
"cephalenia's",1,0
"cephisus",2,0
"ceremonial",1,0
"ceremonies",2,0
"ceremony.""",1,0
"ceres",2,1
"ceres'",3,0
"ceres,",3,0
"ceres.",2,0
"ceres.]",1,0
"cerinthus",1,0
"certain",27,17
"certain;",1,0
"certainly",2,6
"cessi",1,0
"cession",1,0
"cestus",1,0
"cette",1,0
"ceus,",1,0
"cf.",4,16
"ch.",3,0
"chaff,",1,0
"chain",5,1
"chain'd",2,0
"chain(191)",1,0
"chain,",4,0
"chain.",1,0
"chain:",1,0
"chain;",2,0
"chains",4,5
"chains).",1,0
"chains,",4,1
"chair",1,1
"chalcas",5,0
"chalcis'",1,0
"chalcis,",1,0
"chalcon's",1,0
"chalky",3,0
"challenge",2,3
"challenge,",1,0
"challenged,",1,0
"chamber",4,2
"chambers",3,0
"chambers._",1,0
"champaign",4,0
"champion",6,1
"champion,",2,0
"champions",3,0
"chance",10,5
"chance,",3,1
"chance.",1,1
"chance:",1,0
"chance;",2,0
"chanced",2,0
"chancellor)",1,0
"chandler,",1,0
"chandler,(12)",1,0
"change",8,7
"change!",1,0
"change!)",1,0
"change,",1,2
"change.",2,1
"change:",1,0
"changed",3,11
"changes",4,1
"channel",2,1
"channel,",1,0
"channels",3,1
"chantrey",1,0
"chapman",1,0
"chapman's",2,0
"chapman,",2,0
"chapman.",1,0
"chaps",1,0
"character",25,1
"character,",6,0
"character--",1,0
"character.",4,1
"character:",2,0
"character;",2,0
"characteristic",3,0
"characteristic.",1,0
"characteristics--still",1,0
"characterized",2,0
"characters",8,0
"characters,",1,0
"characters:",1,0
"characters;",1,0
"charge",39,17
"charge,",4,0
"charge:",1,0
"charge;",1,0
"charged",14,2
"charged,",1,0
"charger",5,0
"chargers",1,0
"charges",2,0
"charges.",1,1
"charging",3,1
"chariot",69,7
"chariot's",5,0
"chariot,",16,8
"chariot-race,",1,0
"chariot-side.",1,0
"chariot-wheel,",1,0
"chariot.",1,3
"chariot:",1,0
"chariot;",1,0
"charioteer",7,0
"charioteer,",3,0
"charioteer.",3,1
"charioteers",2,0
"charioteers;",1,0
"chariots",22,3
"chariots,",8,1
"chariots;",2,0
"charis",3,0
"charis,",1,0
"charitable",1,1
"charities",1,1
"charles",1,0
"charm",6,4
"charm'd",4,0
"charm,",1,0
"charm;",1,0
"charmed",1,5
"charming",2,1
"charms",23,1
"charms(113)",1,0
"charms,",21,0
"charms--",1,0
"charms.",3,0
"charms;",4,0
"charops,",1,0
"charopus",1,0
"chase",10,0
"chase,",11,0
"chase.",2,0
"chased",8,1
"chased,",2,0
"chaser",1,0
"chasers",1,0
"chasing",1,0
"chasing,",1,1
"chaste",1,0
"chastened",1,0
"chastised",2,0
"chastisement",2,0
"chastises",1,0
"chatter'd,",1,0
"chattering",1,2
"chaucer's",1,0
"che",1,0
"cheat",2,0
"cheats",1,0
"check",11,4
"check'd",7,0
"check'd,",1,0
"check,",2,3
"checked",2,6
"checking",1,1
"checks",1,0
"checks,",1,1
"cheek",5,1
"cheek,",5,0
"cheek;",1,1
"cheeks",6,6
"cheer",2,0
"cheer'd",1,0
"cheer'd,",1,0
"cheer'd;",1,0
"cheer,",2,0
"cheered",1,2
"cheerful",4,0
"cheering",1,0
"cheerless",1,0
"cheers",2,0
"cheers:",1,0
"cheese",1,0
"cherished",1,1
"cherishes",1,0
"chersidamas,",1,0
"chersonese,",1,0
"chest",2,9
"chest,",1,1
"chest.""",1,0
"chests",2,1
"chian",3,0
"chian.",1,0
"chiding",3,0
"chief",188,26
"chief!",10,0
"chief's",5,0
"chief)",1,0
"chief,",43,3
"chief,)",2,0
"chief.",3,0
"chief:",11,0
"chief;",3,0
"chiefly",3,0
"chiefs",85,7
"chiefs!",7,0
"chiefs'",1,0
"chiefs,",18,1
"chiefs.",2,0
"chiefs;",1,0
"chieftain",2,2
"chieftains",3,2
"child",4,29
"child!",1,0
"child,",4,8
"child:",1,0
"children",15,14
"children's",2,0
"children,",5,10
"children.(11)",1,0
"children.(15)",1,0
"chill,",1,0
"chills",1,0
"chimaera",1,0
"chimaera's",1,0
"chimerical,",1,0
"chin",1,0
"chin.",1,1
"chine,",1,0
"chine.(185)",1,0
"chines",1,0
"chios",1,1
"chios'",1,0
"chios,",2,1
"chios.",2,0
"chiron",3,0
"chiron,",1,0
"choice",7,2
"choice,",1,0
"choice.",1,0
"choice:",1,0
"choicest",3,1
"choir",1,0
"choke",1,0
"choked",4,0
"choler",1,0
"choose",4,12
"choose,",1,0
"choose;",1,0
"choosing",1,1
"choricius",1,0
"chose",6,4
"chose,",2,1
"chose;",1,1
"chose;(291)",1,0
"chosen",18,3
"christ,",1,0
"christ.",1,0
"christian",3,0
"chromis",1,0
"chromius",1,0
"chromius,",3,1
"chronicle",1,0
"chronos",1,0
"chrysa",3,0
"chrysa's",4,0
"chrysa,",1,0
"chryseis",5,0
"chryseis,",2,0
"chryseis.",1,0
"chryses",3,0
"chryses,",2,0
"chrysothemis",2,0
"chthon",1,0
"church.",1,0
"church._",1,0
"cicero",1,0
"cicero,",1,0
"ciconians",2,0
"cid,",1,0
"cielo",1,0
"ciii.",1,0
"cilicia.",1,0
"cilla",2,0
"cillus,",1,0
"cincture",2,0
"cinyras",1,0
"circe",1,23
"circle",27,1
"circle)",2,0
"circle,",1,0
"circle.",1,0
"circled",6,1
"circled,",1,0
"circles",8,0
"circlets",1,0
"circling",17,0
"circuit",2,0
"circuit;",1,0
"circumference",1,0
"circumference)",1,0
"circumference,",1,0
"circumfused",3,0
"circumlocution;",1,0
"circumstance",5,0
"circumstance,""",1,0
"circumstance.""",1,0
"circumstances",3,1
"circumstances.",1,0
"circumvent.",1,0
"circus",1,0
"cisseus",1,0
"cistern",1,0
"citadel",1,2
"citadel,",1,0
"cithern's",1,0
"cities",10,6
"cities,",1,0
"cities--they",1,0
"citizen,",1,0
"city",24,55
"city's",1,0
"city,",6,12
"city,_",1,0
"city-gates",1,0
"city.",3,3
"civilized",1,0
"clad",8,2
"clad;",1,0
"claim",15,3
"claim'd",6,0
"claim'd:",1,0
"claim,",7,1
"claim.",2,0
"claim;",2,0
"claim?",1,0
"claims",15,0
"clamorous",6,2
"clamour",8,0
"clamour'd",1,0
"clamours",18,0
"clamours,",3,0
"clang",3,0
"clang,",1,0
"clanging",8,0
"clangour",2,0
"clangours",1,0
"clanks",1,0
"clans",1,0
"clap",1,0
"claps",1,0
"clarke",1,0
"clash",2,0
"clash'd",1,0
"clashing",6,0
"clasp",3,3
"clasp'd",2,0
"clasping",2,0
"clasps",1,0
"class",5,0
"class),",1,0
"class,",1,0
"classic",4,0
"classical",3,0
"clatter",1,0
"clattering",1,0
"claws,",1,0
"clay!",2,0
"clay!""",1,0
"clay)",1,0
"clay,",2,0
"clay,)",1,0
"clay-cold",1,0
"cleanax,",1,0
"cleanse",4,1
"cleansed",2,2
"cleansed;",1,0
"cleansing",1,0
"clear",9,20
"clear'd",2,0
"clear'd,",1,0
"clear,",2,0
"cleare,",1,0
"cleared",1,0
"clearer",1,0
"clearly",5,1
"clearness,",1,0
"clears",1,0
"cleave",4,0
"cleave,",1,0
"cleaves",1,0
"cleaves.",1,0
"cleaves;",1,0
"cleaving",3,0
"cleft",9,0
"clefts",1,0
"clem.",1,0
"cleob.",1,0
"cleobulus",2,0
"cleobulus,",1,0
"cleone,",1,0
"cleopatra",1,0
"clever",1,1
"cleverly",1,0
"cleverness",1,0
"cliff",1,1
"cliffs",6,1
"climate",1,0
"climb",1,3
"climb'd",1,0
"climbs",1,0
"clime)",1,0
"climes",3,0
"cling",2,1
"clinging",1,0
"clip",1,0
"cloanthus,",1,0
"clogg'd",1,0
"clogs",2,0
"clonius",1,0
"clonius,",1,0
"close",66,53
"close,",12,0
"close-ranged",1,0
"close.",1,0
"close:",1,0
"close;",2,1
"closed",11,10
"closed,",5,1
"closed:",1,0
"closely",4,3
"closer",1,1
"closes",1,0
"closest",1,0
"closing",4,0
"clothe",1,1
"clothed",2,2
"clothed,",1,0
"clotted",6,0
"cloud",28,5
"cloud's",1,0
"cloud,",10,2
"cloud-compeller,",1,0
"cloud-compelling",8,0
"cloud.",2,1
"cloud.""",1,0
"cloud.(81)",1,0
"cloud:",1,0
"clouded",3,3
"clouds",45,5
"clouds,",11,4
"clouds.",5,1
"clouds:",1,0
"clouds:)",1,0
"clouds;",1,0
"cloudy",9,0
"cloy'd",1,0
"cloy;",1,0
"clung",2,3
"clustering",3,0
"clusters",1,0
"clusters;",1,0
"clymene",1,1
"clymene,",1,0
"clytaemnestra's",1,0
"clytemnestra",1,3
"clytius",3,0
"clytius,",1,1
"clytomedes",1,0
"clytus,",1,0
"coagulates",1,0
"coals",2,0
"coan",2,0
"coast",6,11
"coast!",1,0
"coast,",9,1
"coast.",6,1
"coast;",8,0
"coast;(74)",1,0
"coast?",2,0
"coasts;",1,0
"cock",1,0
"codes",1,1
"coeranus",1,0
"coerulean",1,0
"coffer",1,0
"cohorts",2,0
"coined",2,3
"cold",30,10
"cold,",2,2
"colder",1,0
"coldest",1,0
"coldly",1,0
"coldness.",1,0
"coldness;",1,0
"coleridge",3,0
"coleridge,",6,0
"collect",2,1
"collect;",1,0
"collected",11,0
"collected)",1,0
"collected,",4,0
"collecting",1,0
"collection",4,3
"collection,",1,0
"collection.",1,1
"collector;",1,0
"collects",3,0
"collision",1,0
"collo",1,0
"collusion,--a",1,0
"colonel",1,0
"colonization.""",1,0
"colony",3,0
"colophomans",1,0
"colour",7,2
"colour'd",1,0
"colour,",2,1
"colouring",1,0
"colours",2,1
"column",1,0
"column,",1,0
"columns",2,1
"com'st",1,0
"combat",66,0
"combat,",16,2
"combat.",3,0
"combat:",2,0
"combatants",2,0
"combatants,",1,0
"combats",4,0
"combats,",2,0
"combine",1,0
"combine,",3,0
"combined",2,0
"combined,",1,0
"combined;",1,0
"combustion""",1,0
"come",20,259
"come!",1,0
"come,",23,18
"come.",5,3
"come:",2,0
"come;",1,0
"comelier",1,0
"comely",1,5
"comes",16,42
"comes,",2,1
"comes:",2,0
"comest",3,0
"comest,",1,0
"comet",1,0
"comet,",1,0
"comets",1,0
"comfort",10,4
"comfortable",2,5
"comforted",1,0
"comfortless",3,0
"coming",10,38
"coming.",1,1
"comings",1,1
"command",31,3
"command!",1,0
"command,",27,0
"command.",9,0
"command.""",4,0
"command:",3,0
"command;",9,0
"command?",1,0
"commanded",2,1
"commander",1,0
"commander;",1,0
"commanding",5,1
"commands",23,1
"commands),",1,0
"commands,",11,0
"commands.",9,0
"commands:",3,0
"commands;",5,0
"commence",4,0
"commenced",2,0
"commencement",2,0
"commencing",1,0
"commend",2,1
"commend,",2,0
"commendations",1,0
"commendations,",1,0
"commends;",1,0
"commentaries,",1,0
"commentary",1,0
"commerce",1,1
"commerce,",1,0
"commercial",1,1
"commission",2,0
"commission'd",4,0
"commission'd,",1,0
"commission,",1,1
"commit",4,0
"commit:",1,0
"commits",2,0
"committed",5,2
"committed,",1,0
"common",42,8
"commonly",6,1
"commonwealth",1,0
"communed,",1,0
"communicated",1,0
"communicates",1,0
"communication",1,0
"community",1,0
"commutual",2,0
"compact",2,0
"compact,",1,0
"compacted",5,0
"companion",5,0
"companion!",1,0
"companion,",3,0
"companion.",1,0
"companions",6,6
"companions'",1,0
"companionship,",1,0
"company,",1,2
"comparative",1,0
"comparatively",4,0
"compare",17,7
"compared",7,1
"compares",1,0
"comparing",2,0
"comparison",5,2
"comparison.",1,0
"comparison:--",1,0
"comparisons",2,0
"compass",6,3
"compass'd",2,0
"compass,)",1,0
"compassion",8,4
"compassion!",1,0
"compassion,",1,0
"compassion;",1,0
"compeer.",1,0
"compel",2,1
"compell'd",3,0
"compell'd;",1,0
"compels",1,1
"compensation",1,0
"compensation.""",1,0
"competent",4,0
"compilation",2,1
"compilation,",1,0
"compilation.""",1,0
"compiled",1,0
"compiler,",1,0
"compilers",2,0
"compiling",1,0
"complain!",1,0
"complain,",5,1
"complain.",1,2
"complain;",2,0
"complain?",3,0
"complaining",1,1
"complains:",1,0
"complaint",1,0
"complaints,",1,0
"complete",6,0
"complete,",2,0
"complete:",1,0
"complete;",1,0
"completed",1,11
"completely",1,1
"completest",1,0
"compliance",4,4
"compliance.",1,1
"compliant",1,0
"complicated",2,0
"compliment",1,0
"comply",7,6
"comply,",1,0
"comply;",1,0
"complying",4,3
"compose",2,1
"compose,",5,0
"compose.",1,0
"compose;",2,0
"composed",6,0
"composed,",1,0
"composing",1,0
"composition",5,0
"composition,",1,0
"composition.",1,0
"composition.""",1,0
"compositions",3,0
"composure,",1,0
"compound",2,0
"compound,",1,0
"compounded",1,0
"comprehend",1,0
"comprehension",1,0
"comprehensive",3,0
"compress'd)",1,0
"compressed",1,0
"compressed,",1,1
"comprised",1,0
"computer",2,2
"computers",1,1
"computers.",1,1
"comrade",1,3
"comrade,",1,1
"comrades",1,11
"con",1,0
"concave",5,0
"concave,",2,0
"conceal",2,2
"conceal'd",7,0
"conceal'd,",3,0
"conceal'd.",2,0
"conceal'd;",1,0
"conceal,",1,0
"concealed.""",1,0
"conceals",1,0
"conceive",1,0
"conceived",4,2
"concept",2,2
"conception",2,0
"concern",5,1
"concerned",1,0
"concerning",5,4
"concerns",1,0
"conclude",2,1
"concluded,",1,0
"concludes",3,1
"concludes;",1,0
"concluding",2,0
"conclusion",2,0
"conclusion,",2,0
"conclusive",2,1
"concubines?",1,0
"concur",1,0
"concurring",1,0
"condemn",1,0
"condemn'd",6,0
"condemn'd,",1,0
"condemned",2,0
"condemns",1,0
"condense",2,0
"condensed",2,0
"condensing",1,0
"condescend",1,0
"condition",7,0
"condition.""(30)",1,0
"conditions",3,0
"conditions,",1,0
"conduced",1,0
"conducive",1,0
"conduct",14,5
"conduct,",3,1
"conduct.",1,0
"conducted",3,4
"conducts",3,0
"cone",1,0
"cone,",2,0
"confederate",2,0
"confederates!",1,0
"confer",1,0
"conference",2,1
"conferr'd",1,0
"conferred",1,2
"confers",2,0
"confess",9,0
"confess'd",12,0
"confess'd)",1,0
"confess'd,",2,0
"confess'd.",4,0
"confess'd;",3,0
"confess,",2,0
"confessed,",1,0
"confessedly",1,0
"confesses",1,0
"confessing",1,0
"confessing,",1,0
"confidence",2,2
"confiding",5,0
"confine",3,1
"confine,",1,0
"confined",1,0
"confined,",1,0
"confined;",1,0
"confines",4,0
"confines;",1,0
"confirm",2,2
"confirm'd",5,0
"confirm'd,",1,0
"confirm'd.""",1,0
"confirmation",1,1
"confirmed",1,1
"confirming",1,0
"confirms",2,0
"conflagration",2,0
"conflict",9,0
"conflicting",4,0
"conform'd",1,0
"confound",5,1
"confound,",7,0
"confounded",1,1
"confounds",2,0
"confounds,",3,0
"confronts",2,0
"confucius.",1,0
"confused",9,0
"confused,",12,0
"confused;",1,0
"confusedly",7,0
"confusion",1,0
"confusion!",1,0
"confusion,",3,0
"confusion.",1,0
"congested,",1,0
"conglobing",1,0
"congregated",1,0
"congreve,",2,0
"congruity:",1,0
"conjecture,",1,0
"conjecture.",1,0
"conjecturing",1,0
"conjoin'd",1,0
"conjoins",1,0
"conjunction",1,0
"conjure",1,0
"conjux,",1,0
"connect",1,0
"connect,",1,0
"connected",4,1
"connected,",1,0
"connecting",2,0
"connection",4,0
"connexion",1,0
"connexion,",1,0
"conquer",10,0
"conquer'd",11,0
"conquer,",13,0
"conquer_""--it",1,0
"conquered",2,0
"conquering",27,0
"conqueror",3,0
"conqueror's",1,0
"conqueror,",1,0
"conqueror.",2,0
"conquers",4,0
"conquers,",1,0
"conquest",49,0
"conquest,",8,0
"conquest,)",1,0
"conquests",7,0
"conquests,",1,0
"conscious",11,0
"conscious,",1,0
"consciousness",2,0
"consecrated",7,0
"consecrated.",1,0
"consecution",1,0
"consecutively,",1,0
"consent",5,2
"consent)",1,0
"consent,",4,0
"consented,",3,0
"consents",1,0
"consents.",1,0
"consents;",1,0
"consequence",1,2
"consequence.",1,1
"consequences",1,0
"consequences,",1,0
"consequent",1,0
"consequential,",1,1
"conservatism,",1,1
"consider",8,11
"considerable",7,5
"considerably",1,0
"considerably.",1,0
"considerate",1,0
"consideration",6,1
"considered",10,4
"considering",3,2
"considers",3,0
"consign'd",5,0
"consign'd,",3,0
"consign'd:",1,0
"consigned",2,0
"consigns",1,0
"consist",3,0
"consistency",3,0
"consistency,",1,0
"consistency.",1,0
"consistent",3,0
"consistent--series",1,0
"consistory",1,0
"consists",2,2
"consolations",1,0
"console",1,0
"console,",1,0
"consonants,",1,0
"consort",9,0
"consort's",3,0
"consort)",1,0
"consort,",3,0
"consorts",1,0
"conspicuous",6,0
"conspire",4,0
"conspire,",4,0
"constancy",1,1
"constant",15,1
"constant,",2,0
"constant:",1,0
"constantly",4,2
"consternation",2,0
"consternation;",1,0
"constituent",2,0
"constitutes",2,0
"constrain'd",1,0
"constrains",1,0
"constraint",1,0
"construct",1,0
"construction",2,1
"construction.",1,0
"construe",1,0
"construed",1,0
"consult",6,7
"consult,",4,0
"consultative",1,0
"consulted",2,1
"consulted,",1,0
"consulted.",1,0
"consulting",1,0
"consulting,",1,0
"consults",1,0
"consume",4,1
"consumed",2,0
"consumere",1,0
"consumes",1,0
"consummate",1,1
"contact",4,4
"contagion",1,0
"contain",5,3
"contain'd",2,0
"contain'd.",1,0
"contain,",6,0
"contain;",1,0
"contained",1,1
"containing",1,2
"contains",2,2
"contains,",1,0
"contains.",1,0
"contains;",1,0
"contemplate",3,0
"contemplating",1,0
"contemplation",1,0
"contempt",1,0
"contemptible",1,0
"contemptuous,",1,0
"contend",5,2
"contend,",12,0
"contend.",1,0
"contend:",1,0
"contend;",3,0
"contended",5,2
"contending",11,2
"contends,",2,0
"contends:",1,0
"content",15,1
"content,",4,1
"content--by",1,0
"content.",1,1
"contented",3,1
"contention",8,0
"contention,",2,0
"contentions",1,1
"contentious",2,0
"contents",3,0
"contest",7,6
"contest,",1,2
"contest;",1,1
"contested",3,0
"contested,",2,0
"contests",1,0
"contiguous",1,1
"continual",1,3
"continually",3,2
"continuation",3,0
"continue",5,6
"continued",6,3
"continued,",2,1
"continues",11,2
"continues,",1,0
"continues.",4,0
"continues;",1,0
"continuous",1,0
"contract",2,1
"contracted",3,0
"contracting",1,0
"contraction",1,0
"contractions",1,0
"contractions,",2,0
"contractions.",1,0
"contracts",1,0
"contracts,",1,0
"contradictions",3,0
"contradictory",1,0
"contradicts",1,0
"contradistinction",1,0
"contrary",3,1
"contrary.",1,0
"contrasted",1,0
"contrasts",1,0
"contribute:",1,0
"contributed",2,0
"contributions",2,2
"contrived",2,0
"contrives",1,0
"contriving",1,0
"control",1,0
"control,",4,0
"control.",3,0
"control;",2,0
"control?",1,0
"controll'd,",3,0
"controls",5,0
"controls,",2,0
"controls;",1,0
"controversy;",1,0
"controvert",1,0
"contumacious",1,0
"convene",1,1
"convened",4,1
"convenience,",1,0
"convenient",2,0
"conventional",2,0
"conversation",3,3
"conversation,",2,1
"converse",1,2
"conversing",2,1
"convert",1,1
"converted",1,0
"convex",2,0
"convey",8,0
"convey'd",4,0
"convey'd,",5,0
"convey'd:",1,0
"convey'd;",1,0
"convey'st",1,0
"convey,",5,0
"convey--",1,0
"convey.",1,0
"convey;",2,0
"conveyed",3,3
"conveying",3,0
"conveys",2,0
"conveys.",1,0
"conviction",2,2
"conviction;",1,0
"convince",1,2
"convinced",2,1
"convinced,",1,0
"convocations,",1,0
"convoked",1,0
"convulsions",2,0
"cool",6,0
"cool'd.",1,0
"cool'd:",1,0
"cooler",2,0
"cooling",1,0
"coon",1,0
"coon,",1,0
"coop",1,0
"cooper.",1,0
"copae,",1,0
"copied",5,2
"copies",9,10
"copies,",1,0
"copious",12,0
"copper",1,2
"copper,",3,0
"copreus",1,0
"copy",11,9
"copy,",4,4
"copying",2,2
"copying,",2,2
"copyist,",1,0
"copyright",13,13
"cord",1,2
"cord.""",1,0
"cordage",1,0
"cordial",3,1
"corinth",1,0
"corinth's",1,0
"corinth,",1,0
"corn",3,8
"corn,",3,1
"corn.",2,0
"corn;",1,1
"corone,",1,0
"corporation",1,1
"corps",1,0
"corps:",1,0
"corpse",12,1
"corpse,",2,0
"correct",5,1
"corrected",2,0
"correction",1,0
"correctly,",1,0
"corrects",1,0
"correspondence",1,0
"correspondence;",1,0
"correspondent",1,0
"corrupt",3,1
"corruption,",1,1
"corruptions",1,0
"corruptions,",1,0
"corse",29,0
"corse!",1,0
"corse,",4,0
"corse.",1,0
"corse:",2,0
"corse;",1,0
"corses",1,0
"corslet",14,0
"corslet,",1,0
"corslets",1,0
"cos,",2,0
"cost",6,6
"cost,",3,1
"costly",7,0
"costs",2,3
"costume.",1,0
"cot",1,0
"cot,",1,0
"cots",1,0
"cotyius,",1,0
"couch",6,8
"couch,",1,2
"couches,",1,0
"couching",3,0
"could",98,207
"could'st",1,0
"could)",1,0
"could,",1,5
"couldst",2,0
"council",43,5
"council,",12,3
"council.",1,3
"council._",1,0
"council;",1,0
"councils",2,1
"councils,",3,1
"counsel",16,10
"counsel,",6,2
"counsel;",2,0
"counsellers",1,0
"counselling",2,0
"counsellor",1,3
"counsels",31,6
"counsels,",10,0
"counsels.(189)",1,0
"count",2,2
"counted",2,2
"counterfeit",1,0
"counterpoise;",1,0
"countless",2,1
"countries",4,4
"country",26,47
"country's",40,0
"country,",11,32
"country.",2,19
"country;",1,6
"countrymen",1,1
"countrymen,",1,1
"countrymen.",1,0
"courage",29,6
"courage)",1,0
"courage,",8,2
"courage;",2,0
"courageous,",1,0
"course",31,16
"course,",27,12
"course.",4,2
"course:",3,0
"course;",11,0
"course?",1,0
"coursed",4,0
"courser",12,0
"courser's",1,0
"courser,",2,0
"courser._",1,0
"coursers",77,0
"coursers'",1,0
"coursers,",20,0
"coursers?",2,0
"court",16,28
"court,",2,18
"court.",1,8
"court:",1,0
"court?""",1,0
"courted",1,0
"courts",8,2
"cover",5,10
"cover'd",15,0
"covered",3,33
"covering",4,4
"covering.",1,0
"coverings",1,1
"coverlets",1,2
"covers",4,1
"covert",4,1
"covetous",1,0
"coward",5,2
"coward's",1,0
"coward,",2,0
"coward-counsels",1,0
"cowardice",1,0
"cowardly",1,0
"cowards",1,2
"cowards,",2,0
"cowering",1,0
"cowper",1,0
"cows,",1,4
"crack",1,0
"crack'd",1,0
"crackle,",1,0
"crackled,",1,0
"crackles",1,0
"crackling",11,0
"crackling,",1,0
"cracks,",1,0
"craggy",2,0
"craggy,",2,0
"crags,",1,0
"cranae's",1,0
"cranaus.",1,0
"cranes",2,0
"cranes'",1,0
"cranes,",2,0
"cranes._",1,0
"crannies",1,0
"crapathus",1,0
"crash",1,0
"crash'd",3,0
"crashing",1,0
"crashing,",1,0
"cratylus.",1,0
"craves",2,0
"crayon,",1,0
"cream,",1,0
"create",2,0
"created",5,2
"creates",1,0
"creating",4,4
"creation",1,1
"creation.",2,0
"creations",1,0
"creature",2,9
"credible,",1,0
"credit",2,3
"credit,",1,0
"credits",1,0
"credulity",3,0
"creeping",1,0
"creeps",3,0
"creeps,",1,0
"creiontian",1,0
"creon",1,0
"creon's",1,0
"crescent",1,0
"crest",6,3
"crest)",1,0
"crest,",4,0
"crest.",3,0
"crest:",1,0
"crest;",1,0
"crested",3,0
"creta",1,0
"creta's",1,0
"cretan",17,0
"cretan's",1,0
"cretan,",1,1
"cretan:",1,0
"crete",1,9
"crete's",2,0
"crete,",5,0
"crete.",2,2
"crete.(216)",1,0
"crete:_",1,0
"crete;",1,1
"crethon",1,0
"crew",1,34
"crew!",1,0
"crew,",11,8
"crew,(169)",1,0
"crew,)(142)",1,0
"crew,_",1,0
"crew.",3,0
"crew;",3,0
"cried",2,11
"cried)",10,0
"cried),",5,0
"cried,",4,18
"cried,(90)",1,0
"cried,)",1,0
"cried:",6,0
"cried;",1,0
"cries",10,1
"cries)",11,0
"cries),",2,0
"cries).",1,0
"cries,",18,1
"cries,""",1,0
"cries,)",1,0
"cries.",3,0
"cries:",11,0
"cries:)",1,0
"cries;",2,0
"crime",3,1
"crime's",1,0
"crime,",8,1
"crimes",4,0
"crimes,",1,0
"crimson",5,2
"crisis",1,0
"cristiani,",1,0
"critheis",2,0
"critheis.",1,0
"critic",2,0
"critic,",1,0
"critic.",1,0
"critical",3,1
"criticism",8,0
"criticism,",3,0
"criticism.",1,0
"criticisms,",1,0
"criticize,",1,0
"critics",9,0
"critics,",2,0
"critics.",1,0
"critics:",1,0
"crocus",1,0
"crocus,",1,0
"crocylia",1,0
"croesmus'",1,0
"crois",1,0
"cromna",1,0
"cronius,",1,0
"crook-backed,",1,0
"crooked",5,1
"crops",2,0
"crops,",1,0
"cropt",1,0
"cross",4,11
"cross'd",3,0
"cross'd,",1,0
"crossed",1,8
"crossing",3,0
"crowd",10,6
"crowd,",9,0
"crowd.",3,0
"crowd:",2,0
"crowd;",1,0
"crowded",14,1
"crowding",1,0
"crowds",12,2
"crowds!",1,0
"crowds,",1,0
"crown",18,1
"crown'd",18,0
"crown'd(239)",1,0
"crown'd,",24,0
"crown'd,(72)",1,0
"crown'd.",6,0
"crown'd:",4,0
"crown'd:)",1,0
"crown'd;",8,0
"crown's",1,0
"crown,",6,0
"crown.",1,0
"crowns",6,0
"crowns,",1,0
"cruel",10,14
"cruelty,",1,0
"crumbling",2,0
"crush",3,0
"crush'd",7,0
"crush'd:",1,0
"crush,",1,0
"crushing",1,0
"cry",3,7
"cry'd",1,0
"cry,",6,4
"cry.",2,2
"cry:",1,0
"cry:(290)",1,0
"cry;",1,1
"crying",2,9
"crystal",9,0
"cteatus'",1,0
"cubit",1,2
"cubits",4,1
"cuff,",1,0
"cuirass",6,0
"cuishes",3,0
"cull",1,0
"culminating",1,0
"cultivate",1,0
"cultivated",2,0
"cultivated,",1,0
"cultivated.",1,0
"cultivating",1,0
"cultivation",1,0
"cumae",1,0
"cumae,",1,0
"cumae.",2,0
"cumans",2,0
"cumbrous",4,0
"cumoea",1,0
"cunning",1,17
"cup",7,14
"cup,",1,4
"curb",4,0
"curb'd",1,0
"curds",1,0
"cure",2,1
"cured",1,0
"cureless",1,0
"cures",1,0
"curetes",1,0
"curetian",1,0
"curiosities",1,0
"curiosity,",1,0
"curious",7,3
"curl'd",5,0
"curling",15,0
"curls,",1,0
"current",5,3
"currents",1,3
"curriers",1,0
"curs",1,0
"curse",7,0
"cursed",14,0
"cursed!""",1,0
"curses",2,0
"curvature,",1,0
"curved",1,1
"custom",6,1
"custom,",1,0
"custom.",1,0
"customary",2,1
"customs",1,1
"cut",16,39
"cut,",1,2
"cutlass",2,0
"cuts",5,2
"cybele,",1,0
"cycle,",1,0
"cyclic",1,0
"cyclus,",1,0
"cycnus.",1,0
"cyllene,",1,0
"cymindis",1,0
"cymodoce",1,0
"cymothoe",1,0
"cynic,",1,0
"cynos",1,0
"cynthia",1,0
"cynthia's",1,0
"cyparissus",1,0
"cyphus,",1,0
"cypress",1,1
"cypria,",1,0
"cypriad",1,0
"cyprian",5,0
"cytorus!",1,0
"d'amboise,",1,0
"d'eleeinoteros",1,0
"d'elle",1,0
"d'une",1,0
"dacier,(38)",1,0
"daedalean",1,0
"daetor,",1,0
"dagger",1,0
"daily",9,3
"dainties",2,0
"daitumones,",1,0
"dale,",1,0
"dales,",1,0
"damage",1,1
"damage.",1,1
"damaged",1,2
"damages",2,3
"damages,",1,2
"damages.",1,1
"damasus,",1,0
"dame",15,0
"dame)",2,0
"dame,",11,0
